141	130	-2203	2

189	177	-2123	2

236	224	-2123	2

272	248	-472	0

284	272	-2133	2

331	319	-2123	2

33	21	-1631	0

57	33	-1283	1

80	68	-1611	0

104	92	-2113	2

128	116	-1581	0

139	128	962	1

151	139	-2153	2

175	163	-1611	0

198	187	-2143	2

222	209	-1681	0

234	222	972	1

246	234	-2103	2

268	257	-1871	0

328	316	972	1

363	351	-1551	0

375	363	1002	1

387	375	-2143	2

411	399	-1551	0

422	411	932	1

434	422	-2093	2

458	446	-1581	0

470	458	962	1

505	493	-1611	0

517	505	1012	1

529	517	-2113	2

552	541	-1401	0

576	564	-2143	2

600	588	-1561	0

646	634	-1571	0

658	646	922	1

670	658	-2103	2

705	693	1022	1

740	729	-1581	0

752	740	972	1

788	776	-1531	0

799	788	942	1

811	799	-2153	2

835	823	-1611	0

882	869	-1921	0

894	882	1012	1

953	940	-2153	2

999	987	-2153	2

1023	1011	-1581	0

